"ID","Handle","Command","Title","Body HTML","Vendor","Type","Tags","Tags Command","Created At","Updated At","Status","Published","Published At","Published Scope","Template Suffix","Gift Card","URL","Row #","Top Row","Image Type","Image Src","Image Position","Image Width","Image Height","Image Alt Text","Variant Inventory Item ID","Variant ID","Variant Command","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Position","Variant SKU","Variant Barcode","Variant Image","Variant Weight","Variant Weight Unit","Variant Price","Variant Compare At Price","Variant Taxable","Variant Tax Code","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Inventory Qty","Variant Inventory Adjust","Variant Cost","Inventory Available: 1 Britton Place","Inventory Available Adjust: 1 Britton Place","Metafield: title_tag [string]","Metafield: description_tag [string]","Variant Metafield: custom.best_seller_icon_ [single_line_text_field]","Variant Metafield: homepage_best_seller [boolean]","Variant Metafield: custom.model_number_w_color_code [single_line_text_field]","Variant Metafield: custom.lens_color [single_line_text_field]","Variant Metafield: custom.polarized [single_line_text_field]","Variant Metafield: custom.lens_material [single_line_text_field]","Variant Metafield: custom.frame_color [single_line_text_field]","Variant Metafield: custom.front_material [single_line_text_field]","Variant Metafield: custom.temple_material [single_line_text_field]","Metafield: custom.men [boolean]","Metafield: custom.women [boolean]","Metafield: custom.youth [boolean]","Metafield: custom.brand [single_line_text_field]","Metafield: custom.custom\.frame_color [single_line_text_field]","Metafield: custom.lens_width [single_line_text_field]","Metafield: custom.bridge_width [single_line_text_field]","Metafield: custom.arm_length [single_line_text_field]","Metafield: custom.brand image [single_line_text_field]","Metafield: custom.custom\.front_material [single_line_text_field]","Metafield: custom.custom\.temple_material [single_line_text_field]","Metafield: custom.brand_name [single_line_text_field]","Variant Metafield: custom.frame_material_front [single_line_text_field]","Variant Metafield: custom.fit [single_line_text_field]","Metafield: custom.temple_material [single_line_text_field]","Metafield: custom.front_material [single_line_text_field]","Metafield: custom.lens_material [single_line_text_field]","Metafield: custom.fit_description [single_line_text_field]","Variant Metafield: custom.product_image_2 [file_reference]","Variant Metafield: custom.product_image_3 [file_reference]","Variant Metafield: custom.variant_image [list.file_reference]","Metafield: shopify--discovery--product_recommendation.related_products_display [single_line_text_field]","Metafield: shopify--discovery--product_recommendation.related_products [list.product_reference]","Metafield: shopify--discovery--product_recommendation.complementary_products [list.product_reference]","Variant Metafield: custom.lens_description_long [multi_line_text_field]","Variant Metafield: custom.fit_description_long [multi_line_text_field]","Variant Metafield: custom.model_description_long [multi_line_text_field]","Variant Metafield: custom.lens_technology_long [multi_line_text_field]","Metafield: custom.brand_name_image [file_reference]","Metafield: custom.brand_name_white_image [file_reference]","Variant Metafield: custom.product_lens_image [file_reference]","Metafield: custom.box_size [single_line_text_field]","Metafield: custom.product_video_male [file_reference]","Metafield: custom.product_video_female [file_reference]","Metafield: custom.product_case_image [file_reference]","Metafield: custom.silouette [file_reference]"
"8906602316068","5494","MERGE","5494","","hero-sunglasses-store","","SUNGLASSES","REPLACE","2023-11-06 17:50:14 -0500","2023-11-09 13:29:03 -0500","Active","true","2023-11-06 17:50:14 -0500","global","","false","https://hero-sunglasses-store.myshopify.com/products/5494","11","","IMAGE","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/109_CHANELPIC1.png?v=1699311023","2","1108","559","","49506702000420","47518524047652","MERGE","FRAME","BLACK - GREY","","","","","2","108 CHANEL","8056597853347","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/108_CHANELPIC1.png?v=1699311023","0.0","oz","475.00","","true","","","deny","manual","true","","","190.34","Stocked","","","","FALSE","false","5494 C888S4","GREY","NO","POLYAMIDE BIO","BLACK","ACETATE","ACETATE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8906602316068","5494","MERGE","5494","","hero-sunglasses-store","","SUNGLASSES","REPLACE","2023-11-06 17:50:14 -0500","2023-11-09 13:29:03 -0500","Active","true","2023-11-06 17:50:14 -0500","global","","false","https://hero-sunglasses-store.myshopify.com/products/5494","12","","IMAGE","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/110_CHANELPIC1.png?v=1699311023","3","1128","569","","49506702033188","47518524080420","MERGE","FRAME","BLACK - GRADIENT BROWN - POLARIZED","","","","","3","109 CHANEL","8056597853330","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/109_CHANELPIC1.png?v=1699311023","0.0","oz","525.00","","true","","","deny","manual","true","","","210.34","Stocked","","","","FALSE","false","5494 C622S9","GRADIENT BROWN","YES","CR39","BLACK","ACETATE","ACETATE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8854671130916","nxtlvl-gaming-collection","MERGE","NXTLVL Gaming Collection","<p class=""page-generator__lorem"" id=""output"" data-mce-fragment=""1"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.</p>","hero-sunglasses-store","","","REPLACE","2023-10-18 17:56:28 -0400","2023-10-27 17:37:05 -0400","Active","true","2023-10-18 17:56:28 -0400","global","","false","https://hero-sunglasses-store.myshopify.com/products/nxtlvl-gaming-collection","13","true","IMAGE","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/b.png?v=1697666204","1","1774","882","","49398746972452","47410411077924","MERGE","Frame","MATTE BLACK - PRIZM GREY - POLARIZED","","","","","1","3025 001 - 57","8056597259828","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/b.png?v=1697666204","0.1","lb","190.00","","true","","shopify","deny","manual","true","1","0","","1","0","","","","","1","PRIZM GREY","YES","CRYSTAL","MATTE BLACK","","","true","true","false","OAKLEY","","62","14","140","","","","","MATERIAL 1","FIT 1","Metal","Metal","CRYSTAL","LARGE","","","","","","","","","","","","","","","","","",""
"8854671130916","nxtlvl-gaming-collection","MERGE","NXTLVL Gaming Collection","","hero-sunglasses-store","","","REPLACE","2023-10-18 17:56:28 -0400","2023-10-27 17:37:05 -0400","Active","true","2023-10-18 17:56:28 -0400","global","","false","https://hero-sunglasses-store.myshopify.com/products/nxtlvl-gaming-collection","14","","IMAGE","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/w.png?v=1697666209","2","1764","850","","49398747005220","47410411110692","MERGE","Frame","POLISHED BLACK -PRIZM SAPPHIRE - NOT POLARIZED","","","","","2","3025 001 - 58","","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/w.png?v=1697666209","0.1","lb","195.00","","true","","shopify","deny","manual","true","1","0","","1","0","","","","","2","PRIZM BLUE","NO","NOT CRYSTAL","POLISHED BLACK","","","","","","","","","","","","","","","MATERIAL 2","FIT 2","","","","","","","","","","","","","","","","","","","","","",""
"8854671130916","nxtlvl-gaming-collection","MERGE","NXTLVL Gaming Collection","","hero-sunglasses-store","","","REPLACE","2023-10-18 17:56:28 -0400","2023-10-27 17:37:05 -0400","Active","true","2023-10-18 17:56:28 -0400","global","","false","https://hero-sunglasses-store.myshopify.com/products/nxtlvl-gaming-collection","15","","","","","","","","49398747037988","47410411143460","MERGE","Frame","MATTE BLACK - PRIZM SAPHIRE- NOT POLARIZED","","","","","3","3025 001 - 59","","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/b.png?v=1697666204","0.1","lb","190.00","","true","","shopify","deny","manual","true","1","0","","1","0","","","","","3","PRIZM SAPHHIRE","NO","CRYSTAL","MATTE BLACK","","","","","","","","","","","","","","","MATERIAL 3","FIT 3","","","","","","","","","","","","","","","","","","","","","",""
"8854671130916","nxtlvl-gaming-collection","MERGE","NXTLVL Gaming Collection","","hero-sunglasses-store","","","REPLACE","2023-10-18 17:56:28 -0400","2023-10-27 17:37:05 -0400","Active","true","2023-10-18 17:56:28 -0400","global","","false","https://hero-sunglasses-store.myshopify.com/products/nxtlvl-gaming-collection","16","","","","","","","","49398747070756","47410411176228","MERGE","Frame","MATTE BLACK - PRIZM SAPHIRE- POLARIZED","","","","","4","3025 001 - 60","","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/w.png?v=1697666209","0.1","lb","190.00","","true","","shopify","deny","manual","true","1","0","","1","0","","","","","4","MATTE BLACK","YES","NOT CRYSTAL","MATTE BLUE","","","","","","","","","","","","","","","MATERIAL 4","FIT 4","","","","","","","","","","","","","","","","","","","","","",""
"8854671130916","nxtlvl-gaming-collection","MERGE","NXTLVL Gaming Collection","","hero-sunglasses-store","","","REPLACE","2023-10-18 17:56:28 -0400","2023-10-27 17:37:05 -0400","Active","true","2023-10-18 17:56:28 -0400","global","","false","https://hero-sunglasses-store.myshopify.com/products/nxtlvl-gaming-collection","17","","","","","","","","49398747103524","47410411208996","MERGE","Frame","POLISHED BLACK - PRIZM GREY - NOT POLARIZED","","","","","5","3025 001 - 61","","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/b.png?v=1697666204","0.1","lb","190.00","","true","","shopify","deny","manual","true","1","0","","1","0","","","","","5","PRIZM GREY","NO","CRYSTAL","POLISHED BLACK","","","","","","","","","","","","","","","MATERIAL 5","FIT 5","","","","","","","","","","","","","","","","","","","","","",""
"8906602447140","apalach","MERGE","APALACH","","hero-sunglasses-store","","SUNGLASSES","REPLACE","2023-11-06 17:50:25 -0500","2023-11-09 13:29:06 -0500","Active","true","2023-11-06 17:50:25 -0500","global","","false","https://hero-sunglasses-store.myshopify.com/products/apalach","18","true","IMAGE","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/65_COSTAPIC1.png?v=1699311032","1","1257","628","","49506702262564","47518524309796","MERGE","FRAME","MATTE GREY CRYSTAL - BLUE MIRROR 580 GLASS - POLARIZED","","","","","1","65 COSTA","097963819640","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/65_COSTAPIC1.png?v=1699311032","0.0","oz","262.00","","true","","","deny","manual","true","","","130.84","Stocked","","","","FALSE","false","2011 - 08","BLUE MIRROR 580 GLASS","YES","LIGHTWAVE GLASS","MATTE GREY CRYSTAL","ACETATE","ACETATE","true","true","false","COSTA","MATTE GREY CRYSTAL","60","17","145","LOGO COSTA ","ACETATE","ACETATE","COSTA","","","","","","","","","","","","","","","","","","","","","","","",""
"8906602447140","apalach","MERGE","APALACH","","hero-sunglasses-store","","SUNGLASSES","REPLACE","2023-11-06 17:50:25 -0500","2023-11-09 13:29:06 -0500","Active","true","2023-11-06 17:50:25 -0500","global","","false","https://hero-sunglasses-store.myshopify.com/products/apalach","19","","IMAGE","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/66_COSTAPIC1.png?v=1699311032","2","1284","642","","49506702295332","47518524342564","MERGE","FRAME","TORTOISE - GREEN MIRROR 580 GLASS - POLARIZED","","","","","2","66 COSTA","097963819596","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/66_COSTAPIC1.png?v=1699311032","0.0","oz","262.00","","true","","","deny","manual","true","","","130.84","Stocked","","","","FALSE","false","2011 - 03","GREEN MIRROR 580 GLASS","YES","LIGHTWAVE GLASS","TORTOISE","ACETATE","ACETATE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8906602414372","antille","MERGE","ANTILLE","","hero-sunglasses-store","","SUNGLASSES","REPLACE","2023-11-06 17:50:20 -0500","2023-11-09 13:29:03 -0500","Active","true","2023-11-06 17:50:20 -0500","global","","false","https://hero-sunglasses-store.myshopify.com/products/antille","20","true","IMAGE","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/10_COSTAPIC1.png?v=1699311026","1","1276","638","","49506702197028","47518524244260","MERGE","FRAME","NET BLACK - BLUE MIRROR 580 GLASS - POLARIZED","","","","","1","10 COSTA","097963862165","https://cdn.shopify.com/s/files/1/0837/7679/9012/files/10_COSTAPIC1.png?v=1699311026","0.0","oz","229.00","","true","","","deny","manual","true","","","114.48","Stocked","","","","FALSE","false","9083 - 01","BLUE MIRROR 580 GLASS","YES","LIGHTWAVE GLASS","NET BLACK","INJECTED","NYLON","true","true","false","COSTA","NET BLACK","58","17","135","LOGO COSTA ","INJECTED","NYLON","COSTA","","","","","","","10_COSTAPIC2.png","10_COSTAPIC3.png","10_COSTAPIC2.png, 10_COSTAPIC3.png","","","","","","","","","","","","","","",""
